7/1/2022 7:15 PM
Wavelength (nm)	10mm Absorbance
413.0	0.127
413.5	0.126
414.0	0.125
414.5	0.124
415.0	0.124
415.5	0.123
416.0	0.122
416.5	0.122
417.0	0.121
417.5	0.120
418.0	0.120
418.5	0.119
419.0	0.118
419.5	0.118
420.0	0.117
420.5	0.117
421.0	0.116
421.5	0.116
422.0	0.115
422.5	0.114
423.0	0.113
423.5	0.112
424.0	0.111
424.5	0.111
425.0	0.111
425.5	0.111
426.0	0.110
426.5	0.109
427.0	0.107
427.5	0.106
428.0	0.105
428.5	0.105
429.0	0.104
429.5	0.103
430.0	0.103
430.5	0.102
431.0	0.101
431.5	0.100
432.0	0.099
432.5	0.098
433.0	0.098
433.5	0.097
434.0	0.097
434.5	0.097
435.0	0.096
435.5	0.096
436.0	0.095
436.5	0.094
437.0	0.093
437.5	0.093
438.0	0.092
438.5	0.091
439.0	0.091
439.5	0.091
440.0	0.091
440.5	0.090
441.0	0.090
441.5	0.089
442.0	0.089
442.5	0.088
443.0	0.088
443.5	0.087
444.0	0.087
444.5	0.086
445.0	0.086
445.5	0.086
446.0	0.085
446.5	0.084
447.0	0.084
447.5	0.083
448.0	0.082
448.5	0.082
449.0	0.081
449.5	0.081
450.0	0.080
450.5	0.080
451.0	0.079
451.5	0.079
452.0	0.078
452.5	0.078
453.0	0.078
453.5	0.077
454.0	0.077
454.5	0.076
455.0	0.076
455.5	0.075
456.0	0.074
456.5	0.074
457.0	0.073
457.5	0.073
458.0	0.073
458.5	0.073
459.0	0.073
459.5	0.072
460.0	0.072
460.5	0.072
461.0	0.072
461.5	0.071
462.0	0.070
462.5	0.070
463.0	0.069
463.5	0.068
464.0	0.067
464.5	0.067
465.0	0.066
465.5	0.066
466.0	0.066
466.5	0.066
467.0	0.066
467.5	0.065
468.0	0.065
468.5	0.064
469.0	0.064
469.5	0.064
470.0	0.064
470.5	0.064
471.0	0.064
471.5	0.063
472.0	0.063
472.5	0.062
473.0	0.062
473.5	0.062
474.0	0.062
474.5	0.061
475.0	0.061
475.5	0.061
476.0	0.061
476.5	0.060
477.0	0.060
477.5	0.059
478.0	0.059
478.5	0.059
479.0	0.058
479.5	0.058
480.0	0.058
480.5	0.057
481.0	0.057
481.5	0.057
482.0	0.057
482.5	0.058
483.0	0.058
483.5	0.058
484.0	0.058
484.5	0.058
485.0	0.058
485.5	0.058
486.0	0.058
486.5	0.058
487.0	0.058
487.5	0.058
488.0	0.057
488.5	0.057
489.0	0.056
489.5	0.056
490.0	0.056
490.5	0.056
491.0	0.055
491.5	0.056
492.0	0.055
492.5	0.055
493.0	0.055
493.5	0.054
494.0	0.054
494.5	0.054
495.0	0.053
495.5	0.053
496.0	0.053
496.5	0.053
497.0	0.053
497.5	0.052
498.0	0.052
498.5	0.051
499.0	0.051
499.5	0.051
500.0	0.051
500.5	0.051
501.0	0.051
501.5	0.051
502.0	0.050
502.5	0.050
503.0	0.049
503.5	0.049
504.0	0.049
504.5	0.049
505.0	0.049
505.5	0.049
506.0	0.050
506.5	0.050
507.0	0.050
507.5	0.049
508.0	0.049
508.5	0.048
509.0	0.048
509.5	0.048
510.0	0.047
510.5	0.047
511.0	0.047
511.5	0.047
512.0	0.047
512.5	0.047
513.0	0.047
513.5	0.047
514.0	0.047
514.5	0.047
515.0	0.046
515.5	0.046
516.0	0.046
516.5	0.046
517.0	0.046
517.5	0.046
518.0	0.046
518.5	0.046
519.0	0.046
519.5	0.046
520.0	0.045
520.5	0.045
521.0	0.045
521.5	0.045
522.0	0.044
522.5	0.044
523.0	0.043
523.5	0.043
524.0	0.044
524.5	0.044
525.0	0.044
525.5	0.044
526.0	0.045
526.5	0.045
527.0	0.045
527.5	0.045
528.0	0.045
528.5	0.045
529.0	0.045
529.5	0.045
530.0	0.044
530.5	0.044
531.0	0.043
531.5	0.042
532.0	0.042
532.5	0.041
533.0	0.041
533.5	0.041
534.0	0.042
534.5	0.042
535.0	0.041
535.5	0.041
536.0	0.041
536.5	0.041
537.0	0.040
537.5	0.040
538.0	0.040
538.5	0.040
539.0	0.039
539.5	0.040
540.0	0.040
540.5	0.041
541.0	0.041
541.5	0.042
542.0	0.042
542.5	0.041
543.0	0.041
543.5	0.041
544.0	0.040
544.5	0.040
545.0	0.040
545.5	0.040
546.0	0.040
546.5	0.039
547.0	0.039
547.5	0.039
548.0	0.038
548.5	0.038
549.0	0.038
549.5	0.037
550.0	0.037
550.5	0.037
551.0	0.037
551.5	0.037
552.0	0.037
552.5	0.038
553.0	0.038
553.5	0.037
554.0	0.037
554.5	0.037
555.0	0.037
555.5	0.037
556.0	0.037
556.5	0.037
557.0	0.037
557.5	0.036
558.0	0.036
558.5	0.035
559.0	0.034
559.5	0.033
560.0	0.034
560.5	0.034
561.0	0.035
561.5	0.036
562.0	0.036
562.5	0.037
563.0	0.036
563.5	0.036
564.0	0.036
564.5	0.036
565.0	0.036
565.5	0.036
566.0	0.036
566.5	0.036
567.0	0.036
567.5	0.036
568.0	0.036
568.5	0.036
569.0	0.037
569.5	0.037
570.0	0.037
570.5	0.036
571.0	0.037
571.5	0.036
572.0	0.036
572.5	0.036
573.0	0.036
573.5	0.036
574.0	0.036
574.5	0.036
575.0	0.036
575.5	0.036
576.0	0.035
576.5	0.035
577.0	0.035
577.5	0.035
578.0	0.035
578.5	0.035
579.0	0.035
579.5	0.035
580.0	0.035
580.5	0.035
581.0	0.035
581.5	0.034
582.0	0.034
582.5	0.035
583.0	0.035
583.5	0.035
584.0	0.035
584.5	0.035
585.0	0.034
585.5	0.034
586.0	0.033
586.5	0.033
587.0	0.034
587.5	0.034
588.0	0.035
588.5	0.035
589.0	0.034
589.5	0.035
590.0	0.035
590.5	0.035
591.0	0.035
591.5	0.035
592.0	0.035
592.5	0.034
593.0	0.034
593.5	0.033
594.0	0.033
594.5	0.033
595.0	0.033
595.5	0.033
596.0	0.034
596.5	0.034
597.0	0.034
597.5	0.034
598.0	0.034
598.5	0.033
599.0	0.033
599.5	0.033
600.0	0.032
600.5	0.032
601.0	0.032
601.5	0.032
602.0	0.032
602.5	0.032
603.0	0.033
603.5	0.033
604.0	0.033
604.5	0.033
605.0	0.032
605.5	0.032
606.0	0.032
606.5	0.032
607.0	0.032
607.5	0.032
608.0	0.032
608.5	0.032
609.0	0.032
609.5	0.031
610.0	0.031
610.5	0.031
611.0	0.031
611.5	0.031
612.0	0.031
612.5	0.031
613.0	0.031
613.5	0.031
614.0	0.031
614.5	0.030
615.0	0.030
615.5	0.030
616.0	0.030
616.5	0.029
617.0	0.029
617.5	0.029
618.0	0.029
618.5	0.029
619.0	0.029
619.5	0.029
620.0	0.030
620.5	0.029
621.0	0.029
621.5	0.028
622.0	0.028
622.5	0.027
623.0	0.027
623.5	0.027
624.0	0.027
624.5	0.028
625.0	0.029
625.5	0.029
626.0	0.030
626.5	0.030
627.0	0.030
627.5	0.030
628.0	0.030
628.5	0.030
629.0	0.029
629.5	0.028
630.0	0.028
630.5	0.028
631.0	0.027
631.5	0.028
632.0	0.028
632.5	0.028
633.0	0.028
633.5	0.028
634.0	0.028
634.5	0.027
635.0	0.027
635.5	0.025
636.0	0.025
636.5	0.026
637.0	0.026
637.5	0.026
638.0	0.026
638.5	0.026
639.0	0.027
639.5	0.027
640.0	0.026
640.5	0.026
641.0	0.026
641.5	0.026
642.0	0.026
642.5	0.025
643.0	0.024
643.5	0.024
644.0	0.023
644.5	0.023
645.0	0.023
645.5	0.023
646.0	0.024
646.5	0.024
647.0	0.025
647.5	0.025
648.0	0.024
648.5	0.024
649.0	0.023
649.5	0.023
650.0	0.022
650.5	0.022
651.0	0.021
651.5	0.020
652.0	0.020
652.5	0.020
653.0	0.020
653.5	0.021
654.0	0.021
654.5	0.021
655.0	0.022
655.5	0.022
656.0	0.022
656.5	0.021
657.0	0.021
657.5	0.021
658.0	0.021
658.5	0.021
659.0	0.020
659.5	0.020
660.0	0.020
660.5	0.020
661.0	0.019
661.5	0.017
662.0	0.016
662.5	0.016
663.0	0.017
663.5	0.018
664.0	0.018
664.5	0.018
665.0	0.018
665.5	0.017
666.0	0.016
666.5	0.015
667.0	0.014
667.5	0.014
668.0	0.014
668.5	0.014
669.0	0.013
669.5	0.013
670.0	0.014
670.5	0.013
671.0	0.012
671.5	0.012
672.0	0.012
672.5	0.012
673.0	0.012
673.5	0.012
674.0	0.011
674.5	0.011
675.0	0.012
675.5	0.012
676.0	0.011
676.5	0.011
677.0	0.011
677.5	0.011
678.0	0.011
678.5	0.011
679.0	0.010
679.5	0.011
680.0	0.012
680.5	0.013
681.0	0.013
681.5	0.012
682.0	0.011
682.5	0.010
683.0	0.009
683.5	0.008
684.0	0.008
684.5	0.008
685.0	0.009
685.5	0.010
686.0	0.009
686.5	0.009
687.0	0.009
687.5	0.008
688.0	0.008
688.5	0.008
689.0	0.008
689.5	0.008
690.0	0.007
690.5	0.007
691.0	0.007
691.5	0.007
692.0	0.007
692.5	0.007
693.0	0.008
693.5	0.009
694.0	0.009
694.5	0.008
695.0	0.007
695.5	0.006
696.0	0.006
696.5	0.006
697.0	0.007
697.5	0.007
698.0	0.008
698.5	0.008
699.0	0.008
699.5	0.007
700.0	0.006
700.5	0.005
701.0	0.005
701.5	0.005
702.0	0.006
702.5	0.006
703.0	0.006
703.5	0.006
704.0	0.006
704.5	0.006
705.0	0.004
705.5	0.004
706.0	0.004
706.5	0.005
707.0	0.005
707.5	0.005
708.0	0.006
708.5	0.006
709.0	0.006
709.5	0.006
710.0	0.005
710.5	0.005
711.0	0.005
711.5	0.005
712.0	0.005
712.5	0.004
713.0	0.004
713.5	0.005
714.0	0.005
714.5	0.005
715.0	0.006
715.5	0.007
716.0	0.007
716.5	0.006
717.0	0.006
717.5	0.006
718.0	0.006
718.5	0.005
719.0	0.004
719.5	0.003
720.0	0.004
720.5	0.003
721.0	0.003
721.5	0.003
722.0	0.003
722.5	0.003
723.0	0.004
723.5	0.003
724.0	0.003
724.5	0.003
725.0	0.003
725.5	0.003
726.0	0.004
726.5	0.004
727.0	0.003
727.5	0.002
728.0	0.003
728.5	0.003
729.0	0.003
729.5	0.004
730.0	0.004
730.5	0.003
731.0	0.003
731.5	0.002
732.0	0.002
732.5	0.001
733.0	0.001
733.5	0.001
734.0	0.001
734.5	0.000
735.0	0.000
735.5	0.000
736.0	0.000
736.5	0.001
737.0	0.001
737.5	0.002
738.0	0.002
738.5	0.002
739.0	0.002
739.5	0.002
740.0	0.002
740.5	0.003
741.0	0.003
741.5	0.003
742.0	0.003
742.5	0.002
743.0	0.001
743.5	0.001
744.0	0.001
744.5	0.001
745.0	0.002
745.5	0.002
746.0	0.002
746.5	0.002
747.0	0.001
747.5	0.000
748.0	-0.001
748.5	-0.002
749.0	-0.002
749.5	-0.001
750.0	0.000
750.5	0.000
751.0	0.001
751.5	0.002
752.0	0.001
752.5	0.001
753.0	-0.001
753.5	-0.001
754.0	-0.001
754.5	0.000
755.0	0.001
755.5	0.001
756.0	0.002
756.5	0.002
757.0	0.002
757.5	0.001
758.0	0.000
758.5	0.000
759.0	0.000
759.5	0.000
760.0	0.000
760.5	0.001
761.0	0.001
761.5	0.001
762.0	0.000
762.5	0.000
763.0	-0.001
763.5	-0.001
764.0	-0.002
764.5	-0.001
765.0	-0.001
765.5	0.000
766.0	0.001
766.5	0.001
767.0	0.000
767.5	0.000
768.0	0.000
768.5	0.000
769.0	-0.001
769.5	-0.001
770.0	-0.001
770.5	-0.001
771.0	-0.002
771.5	-0.003
772.0	-0.004
772.5	-0.004
773.0	-0.005
773.5	-0.005
774.0	-0.004
774.5	-0.004
775.0	-0.003
775.5	-0.003
776.0	-0.002
776.5	-0.003
777.0	-0.004
777.5	-0.004
778.0	-0.005
778.5	-0.004
779.0	-0.003
779.5	-0.002
780.0	-0.001
780.5	0.000
781.0	0.000
781.5	-0.001
782.0	-0.001
782.5	-0.002
783.0	-0.002
783.5	-0.002
784.0	-0.002
784.5	-0.001
785.0	0.000
785.5	0.000
786.0	0.000
786.5	0.000
787.0	-0.001
787.5	-0.002
788.0	-0.003
788.5	-0.004
789.0	-0.005
789.5	-0.004
790.0	-0.003
790.5	-0.002
791.0	-0.002
791.5	-0.002
792.0	-0.002
792.5	-0.001
793.0	-0.001
793.5	-0.001
794.0	0.000
794.5	0.000
795.0	0.001
795.5	0.000
796.0	0.000
796.5	-0.001
797.0	-0.002
797.5	-0.003
798.0	-0.003
798.5	-0.003
799.0	-0.002
799.5	-0.002
800.0	-0.001
800.5	-0.001
801.0	-0.002
801.5	-0.003
802.0	-0.004
802.5	-0.004
803.0	-0.004
803.5	-0.004
804.0	-0.005
804.5	-0.005
805.0	-0.005
805.5	-0.006
806.0	-0.006
806.5	-0.006
807.0	-0.005
807.5	-0.003
808.0	-0.002
808.5	-0.001
809.0	-0.001
809.5	-0.001
810.0	-0.002
810.5	-0.004
811.0	-0.004
811.5	-0.005
812.0	-0.004
812.5	-0.004
813.0	-0.004
813.5	-0.003
814.0	-0.003
814.5	-0.004
815.0	-0.004
815.5	-0.004
816.0	-0.004
816.5	-0.003
817.0	-0.004
817.5	-0.004
818.0	-0.004
818.5	-0.004
819.0	-0.005
819.5	-0.005
820.0	-0.005
820.5	-0.004
821.0	-0.004
821.5	-0.003
822.0	-0.003
822.5	-0.002
823.0	-0.002
823.5	-0.002
824.0	-0.002
824.5	-0.002
825.0	-0.004
825.5	-0.004
826.0	-0.005
826.5	-0.005
827.0	-0.004
827.5	-0.004
828.0	-0.005
828.5	-0.005
829.0	-0.005
829.5	-0.005
830.0	-0.005
830.5	-0.006
831.0	-0.006
831.5	-0.006
832.0	-0.007
832.5	-0.007
833.0	-0.007
833.5	-0.007
834.0	-0.007
834.5	-0.006
835.0	-0.004
835.5	-0.003
836.0	-0.002
836.5	-0.003
837.0	-0.003
837.5	-0.003
838.0	-0.003
838.5	-0.004
839.0	-0.004
839.5	-0.005
840.0	-0.005
840.5	-0.005
841.0	-0.005
841.5	-0.006
842.0	-0.007
842.5	-0.007
843.0	-0.007
843.5	-0.007
844.0	-0.007
844.5	-0.008
845.0	-0.008
845.5	-0.007
846.0	-0.005
846.5	-0.005
847.0	-0.005
847.5	-0.003
848.0	-0.003
848.5	-0.005
849.0	-0.006
849.5	-0.008
850.0	-0.009

